CODIGO_PRODUTO,GIRO_MEDIO_DIAS,TOTAL_ENTRADAS,GIRO_MEDIO_MESES,CLASSIFICACAO_GIRO,2023,2024,2025,2026,TENDENCIA,TENDENCIA_PERC
CM008197,100.0,2,3.3333333333333335,BAIXO,0.25,0.0,0.0,0.0,-0.25,-1.0
CM008217,62.05882352941177,18,2.0686274509803924,MEDIO,23.333333333333332,11.666666666666666,20.0,0.0,-3.333333333333332,-0.14285714285714282
CM008226,98.125,9,3.2708333333333335,BAIXO,7.583333333333333,25.916666666666668,25.0,0.0,17.416666666666668,2.296703296703297
CM008266,140.0,3,4.666666666666667,BAIXO,0.0,2.5,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333
CM008273,60.666666666666664,4,2.022222222222222,MEDIO,0.0,0.9166666666666666,0.25,0.0,0.25,0.25
CM008286,57.0,2,1.9,MEDIO,83.33333333333333,0.0,0.0,0.0,-83.33333333333333,-1.0
CM008331,70.0,2,2.3333333333333335,MEDIO,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334
CM008366,89.33333333333333,4,2.9777777777777774,MEDIO,1.5833333333333333,0.5,0.0,0.0,-1.5833333333333333,-1.0
CM008392,74.9090909090909,12,2.496969696969697,MEDIO,2.0833333333333335,11.666666666666666,11.666666666666666,0.0,9.583333333333332,4.599999999999999
CM008395,150.0,7,5.0,BAIXO,2.6666666666666665,6.416666666666667,1.0,0.0,-1.6666666666666665,-0.625
CM008396,129.28571428571428,8,4.309523809523809,BAIXO,3.3333333333333335,4.333333333333333,4.583333333333333,0.0,1.2499999999999996,0.37499999999999983
CM008397,175.0,5,5.833333333333333,BAIXO,0.0,3.3333333333333335,7.5,0.0,7.5,7.5
CM008398,72.83333333333333,13,2.4277777777777776,MEDIO,7.0,4.583333333333333,8.333333333333334,0.0,1.333333333333334,0.19047619047619055
CM008403,127.0,3,4.233333333333333,BAIXO,1.0,4.166666666666667,0.0,0.0,-1.0,-1.0
CM008414,29.0,2,0.9666666666666667,ALTO,0.16666666666666666,0.0,0.0,0.0,-0.16666666666666666,-1.0
CM008429,92.0,2,3.066666666666667,BAIXO,0.0,25.0,0.0,0.0,0.0,0.0
CM008436,110.75,9,3.691666666666667,BAIXO,20.0,17.5,1.25,0.0,-18.75,-0.9375
CM008437,56.0,19,1.8666666666666667,MEDIO,19.0,22.0,22.0,0.0,3.0,0.15789473684210525
CM008438,144.2,6,4.806666666666667,BAIXO,4.0,2.0,1.0,0.0,-3.0,-0.75
CM008449,132.57142857142858,8,4.419047619047619,BAIXO,33.333333333333336,33.333333333333336,39.166666666666664,0.0,5.833333333333329,0.17499999999999985
CM008465,178.0,3,5.933333333333334,BAIXO,1.4166666666666667,1.6666666666666667,0.0,0.0,-1.4166666666666667,-1.0
CM008488,97.0,2,3.2333333333333334,BAIXO,0.0,0.0,3.0,0.0,3.0,3.0
CM008538,140.66666666666666,7,4.688888888888888,BAIXO,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
CM008540,28.666666666666668,4,0.9555555555555556,ALTO,0.0,1.0833333333333333,0.0,0.0,0.0,0.0
CM008584,153.0,2,5.1,BAIXO,1.0,0.5833333333333334,0.0,0.0,-1.0,-1.0
