CODIGO_PRODUTO,2023,2024,2025,TARGET_2025,COMPROU_2023,COMPROU_2024,COMPROU_2025,ANOS_COM_COMPRA,CLASSE_PRODUTO,PREVISAO_MENSAL_2026,PREVISAO_ANUAL_2026,ORIGEM_PREVISAO
CM028939,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028940,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028945,0.0,0.0833333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028950,0.0,0.3333333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028951,0.0,0.6666666666666666,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028952,0.0,0.3333333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028953,0.0,0.3333333333333333,0.4166666666666667,0.4166666666666667,0,1,1,2,RECORRENTE,0.4210002141094873,5.0520025693138475,MODELO_ML
CM028954,0.0,0.9166666666666666,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028958,0.0,0.1666666666666666,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028959,0.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,0,1,1,2,RECORRENTE,1.6665641715950243,19.99877005914029,MODELO_ML
CM028960,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028961,0.0,1.8333333333333333,2.4166666666666665,2.4166666666666665,0,1,1,2,RECORRENTE,2.426475017666729,29.11770021200075,MODELO_ML
CM028962,0.0,2.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028963,0.0,0.6666666666666666,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028964,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028965,0.0,6.666666666666667,5.0,5.0,0,1,1,2,RECORRENTE,4.998124110279413,59.977489323352955,MODELO_ML
CM028966,0.0,1.6666666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028970,0.0,1.1666666666666667,3.583333333333333,3.583333333333333,0,1,1,2,RECORRENTE,3.581480022219771,42.97776026663725,MODELO_ML
CM028972,0.0,2.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028973,0.0,50.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028974,0.0,5.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028975,0.0,0.0083333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028976,0.0,0.0083333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028977,0.0,0.8333333333333334,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028978,0.0,0.4166666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028979,0.0,1.6666666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028980,0.0,1.6666666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028981,0.0,3.333333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028982,0.0,2.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028983,0.0,3.333333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028986,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028987,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028988,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028989,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028990,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028998,0.0,0.3333333333333333,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM028999,0.0,2.5,1.6666666666666667,1.6666666666666667,0,1,1,2,RECORRENTE,1.6665641715950243,19.99877005914029,MODELO_ML
CM029005,0.0,0.5,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029007,0.0,1.6666666666666667,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029009,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
CM029012,0.0,1.0,0.0,0.0,0,1,0,1,EVENTUAL,0.0,0.0,SOB_DEMANDA
